category,most_common_text
здоровье,"1 июля 2024 года состоялся релиз открытой библиотеки для быстрой обработки данных Python Polars 1.0. Исходный код проекта написан на Rust и Python и опубликован на GitHub.

#разработка"
мода,"На фоне провальных дебатов Трампа и Байдена, и разговоров о том, что демократы заменят Байдена на выборах, в Х вспоминают пророческий твит Джона Макафи.

Он в 2020 году обещал что ""в сентябре, демократы уберут Байдена и вы никогда не поверите на кого его заменят без народного голосования"".

Для тех кто не в курсе, Джон Макафи это не только основатель McAfee, но и человек с бурной жизнью - он дважды пытался пойти в президенты США и сталкивался с кучей палок в колеса. А под конец жизни, начал выдавать инсайды о мировом правительстве и предупреждал что не планирует сводить счеты с жизнью.

Джон Макафи умер в тюрьме за несколько часов до решения суда по экстрадиции в США. Вердикт медицинской комиссии - ""свел счеты с жизнью""."
образование,"🇷🇺 Российский рынок акций открылся ростом индексов МосБиржи и РТС на 0,3%

Во вторник торги на российском рынке акций открылись продолжением роста на фоне улучшения внешней фондовой конъюнктуры и дорожающей нефти (цена Brent поднялась к $86,8 за баррель); индексы МосБиржи и РТС за минуту торгов выросли на 0,3% во главе с котировками ""Газпрома"".

К 10:01 индекс МосБиржи вырос на 0,3% до 3195,82 пункта, индекс РТС вырос на 0,3% до 1153,25 пункта; динамика цен blue chips на ""Мосбирже"" - смешанная в пределах 1,3%.

Официальный курс доллара США, установленный Банком России со 2 июля, составил 87,2972 рубля (+1,5492 рубля).

@ifax_go"
инциденты и катастрофы,"Акционеры ""Лензолота"" утвердили дивиденды-2023 в размере 21,42 рубля на ""преф""

Акционеры ПАО ""Лензолото"" утвердили дивиденды за 2023 год в размере 21,42 рубля на привилегированную акцию, дивиденды на обыкновенные акции выплачиваться не будут, сообщила компания.

В общей сложности выплаты составят 7,4 млн рублей. Это полностью соответствует уставу ""Лензолота"", по которому дивиденды на привилегированные акции должны составлять не менее 6,9% от годовой чистой прибыли по РСБУ.

Датой, на которую определяются лица, имеющие право на получение дивидендов, установлено 9 июля.

@ifax_go"
спорт,"Аэропорт Женевы 25 июня не принимал и не отправлял рейсы из-за подтопления ЦОД аэронавигационной службы Skyguide. Его вызвали ливни.

#ТехническиеШоколадки #транспорт"
политика,"​До чего дошел прогресс: двуногий звонит своему пушистому хозяину, чтобы тот не скучал один дома. Но есть нюанс: звонок происходит через робот-пылесос.

#техника #люди #НеожиданныйКроссовер"
экономика,"🔮 Дайджест инвестпрогнозов:

🔹  БКС Экспресс: Несмотря на потери рынка за месяц, выкуп глубокой просадки обнадеживает и предполагает техническое развитие индекса Мосбиржи вверх. Следующий ориентир на 3225 пунктах - это +2% от текущих.

🔹  Промсвязьбанк: Факторов для продолжения восстановления котировок рублевых гособлигаций на рынке пока нет.

🔹  Открывать спекулятивные позиции против рубля пока еще рискованно - ""Алор Брокер"".

🔹  Банк ""Русский Стандарт"": Вероятно укрепление рубля до 84-88 руб./$1 ввиду окончания периода налоговых платежей и сокращения балансирующих операций со стороны ЦБ.

🔹  Промсвязьбанк: Курс валютной пары юань/рубль может сместиться к более высоким уровням на текущей неделе - в район 12 рублей за юань. 

🔹  Фундаментально существенных изменений в картине котировок золота в настоящее время нет, говорится в материале ""Финама"".

🔹  Возобновление экспорта бензина в июле позитивно для вертикально интегрированных нефтяных компаний РФ, и в первую очередь для таких экспортеров, как ""Сургутнефтегаз"" , ""ЛУКОЙЛ"" , ""Газпром нефть"" и ""Роснефть"" , считают в Альфа-банке.

🔹  Индексация регулируемых энерготарифов позволит ряду генерирующих компаний РФ повысить прибыли и, как следствие, дивидендные выплаты, полагают в ""БКС Мир инвестиции"".

🔹  Финам"" открыл торговую идею ""покупать акции АФК ""Система"" с целью 27 рублей за штуку"" с горизонтом инвестирования 3-4 недели. Цена входа: текущая рыночная, потенциальная доходность: 13,56%, стоп-приказ: 22,62 рубля.

🔹  Аналитики сервиса Газпромбанк Инвестиции положительно оценивает перспективы индекса Мосбиржи на горизонте двух лет, несмотря на трансформацию налоговой системы и рост процентных ставок.

🔹  ""БКС Мир инвестиций"" (""БКС МИ"") пока сохраняет нейтральную оценку российского рынка акций из-за повышенных геополитических рисков.

🔹  ""Велес Капитал"" сохраняет рекомендацию ""покупать"" для акций ""Ренессанс страхование"" с прогнозной стоимостью 134 рубля за штуку, что предполагает потенциал роста 37% от текущего уровня.

#экспертыотмечают #прогноз
@ifax_go"
технологии,"ЦБ не увидел в действиях ""Цифра брокер"" в январе манипулирования ценой акций СПБ биржи

Банк России изучил обстоятельства информирования ООО ""Цифра брокер"" 29 января 2024 года своих клиентов о прекращении торговых операций на СПБ бирже с 30 января, спровоцировавшего снижение акций биржи, не усмотрел в действиях брокера и СМИ умысла на совершение манипулирования ценой акций, говорится в сообщении регулятора.

ЦБ РФ рекомендует участникам финансового рынка проявлять осмотрительность при распространении информации, затрагивающей права и законные интересы инвесторов. Сообщения, адресованные клиентам, должны содержать точные формулировки, исчерпывающие сведения и исключать предпосылки для неверного или двусмысленного трактования.

Регулятор обращает внимание, что некорректная информация оказывает негативное влияние на состояние финансового рынка, вводит в заблуждение инвесторов и создает риск манипулирования рынком. Нарушение запретов на манипулирование рынком, в том числе путем умышленного распространения заведомо ложных сведений, влечет за собой ответственность в соответствии с действующим законодательством, включая уголовную.

@ifax_go"
